Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2021-09-08 07:00 PM,2021,09,08,19,-999.0,-999,N/A,9.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-08 08:00 PM,2021,09,08,20,10.4,43,Good,11.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-08 09:00 PM,2021,09,08,21,11.8,49,Good,13.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-08 10:00 PM,2021,09,08,22,16.0,59,Moderate,19.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-08 11:00 PM,2021,09,08,23,17.5,62,Moderate,19.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 12:00 AM,2021,09,09,00,17.2,62,Moderate,16.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 01:00 AM,2021,09,09,01,16.2,60,Moderate,15.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 02:00 AM,2021,09,09,02,16.0,59,Moderate,15.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 03:00 AM,2021,09,09,03,15.4,58,Moderate,14.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 04:00 AM,2021,09,09,04,14.6,56,Moderate,13.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 05:00 AM,2021,09,09,05,13.4,54,Moderate,12.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 06:00 AM,2021,09,09,06,12.4,52,Moderate,11.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 07:00 AM,2021,09,09,07,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 08:00 AM,2021,09,09,08,13.5,54,Moderate,15.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 09:00 AM,2021,09,09,09,13.2,53,Moderate,12.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 10:00 AM,2021,09,09,10,13.5,54,Moderate,14.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 11:00 AM,2021,09,09,11,13.6,54,Moderate,13.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 12:00 PM,2021,09,09,12,13.8,55,Moderate,14.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 01:00 PM,2021,09,09,13,13.6,54,Moderate,12.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 02:00 PM,2021,09,09,14,13.4,54,Moderate,12.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 03:00 PM,2021,09,09,15,13.2,53,Moderate,12.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 04:00 PM,2021,09,09,16,13.0,53,Moderate,12.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 05:00 PM,2021,09,09,17,11.9,50,Good,10.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 06:00 PM,2021,09,09,18,11.3,47,Good,10.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 07:00 PM,2021,09,09,19,10.6,44,Good,9.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 08:00 PM,2021,09,09,20,10.9,45,Good,11.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 09:00 PM,2021,09,09,21,14.6,56,Moderate,18.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 10:00 PM,2021,09,09,22,17.6,63,Moderate,20.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-09 11:00 PM,2021,09,09,23,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 12:00 AM,2021,09,10,00,19.9,67,Moderate,22.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 01:00 AM,2021,09,10,01,16.3,60,Moderate,12.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 02:00 AM,2021,09,10,02,14.2,55,Moderate,12.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 03:00 AM,2021,09,10,03,13.7,54,Moderate,13.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 04:00 AM,2021,09,10,04,12.8,52,Moderate,11.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 05:00 AM,2021,09,10,05,13.5,54,Moderate,14.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 06:00 AM,2021,09,10,06,13.0,53,Moderate,12.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 07:00 AM,2021,09,10,07,12.9,53,Moderate,12.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 08:00 AM,2021,09,10,08,13.6,54,Moderate,14.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 09:00 AM,2021,09,10,09,14.9,57,Moderate,16.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 10:00 AM,2021,09,10,10,15.7,59,Moderate,16.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 11:00 AM,2021,09,10,11,15.6,58,Moderate,15.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 12:00 PM,2021,09,10,12,15.4,58,Moderate,16.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 01:00 PM,2021,09,10,13,14.7,56,Moderate,13.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 02:00 PM,2021,09,10,14,14.3,56,Moderate,13.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 03:00 PM,2021,09,10,15,14.0,55,Moderate,13.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 04:00 PM,2021,09,10,16,13.7,54,Moderate,12.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-10 05:00 PM,2021,09,10,17,13.7,54,Moderate,-999.0,UG/M3,1 Hr,Missing
Banja Luka,PM2.5 - Principal,2021-09-11 07:00 AM,2021,09,11,07,-999.0,-999,N/A,15.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 08:00 AM,2021,09,11,08,15.9,59,Moderate,16.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 09:00 AM,2021,09,11,09,16.7,61,Moderate,17.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 10:00 AM,2021,09,11,10,17.2,62,Moderate,18.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 11:00 AM,2021,09,11,11,17.5,62,Moderate,18.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 12:00 PM,2021,09,11,12,17.3,62,Moderate,16.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-09-11 01:00 PM,2021,09,11,13,16.8,61,Moderate,15.2,UG/M3,1 Hr,Valid
