Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2023-12-01 01:00 AM,2023,12,01,01,5.6,23,Good,5.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 02:00 AM,2023,12,01,02,5.7,24,Good,5.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 03:00 AM,2023,12,01,03,5.5,23,Good,5.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 04:00 AM,2023,12,01,04,5.5,23,Good,5.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 05:00 AM,2023,12,01,05,5.9,25,Good,6.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 06:00 AM,2023,12,01,06,5.9,25,Good,6.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 07:00 AM,2023,12,01,07,6.2,26,Good,6.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 08:00 AM,2023,12,01,08,6.6,28,Good,6.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 09:00 AM,2023,12,01,09,6.5,27,Good,6.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 10:00 AM,2023,12,01,10,6.5,27,Good,6.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 11:00 AM,2023,12,01,11,6.6,28,Good,6.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 12:00 PM,2023,12,01,12,6.9,29,Good,7.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 01:00 PM,2023,12,01,13,7.4,31,Good,8.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 02:00 PM,2023,12,01,14,7.9,33,Good,8.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 03:00 PM,2023,12,01,15,8.0,33,Good,8.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 04:00 PM,2023,12,01,16,8.4,35,Good,9.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 05:00 PM,2023,12,01,17,8.6,36,Good,8.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 06:00 PM,2023,12,01,18,8.8,37,Good,9.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 07:00 PM,2023,12,01,19,9.1,38,Good,9.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 08:00 PM,2023,12,01,20,9.1,38,Good,9.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 09:00 PM,2023,12,01,21,9.3,39,Good,9.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 10:00 PM,2023,12,01,22,9.3,39,Good,9.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-01 11:00 PM,2023,12,01,23,9.3,39,Good,9.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-02 12:00 AM,2023,12,02,00,9.5,40,Good,10.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-12-02 01:00 AM,2023,12,02,01,9.7,40,Good,10.4,UG/M3,1 Hr,Valid
