time_stamp,humidity,pm2.5_alt,pm2.5_atm,pm2.5_cf_1
2021-09-08 19:00:00+02:00,23.2,4.3,7.271,7.321
2021-09-08 20:00:00+02:00,29.733,4.5,7.7975,7.801
2021-09-08 21:00:00+02:00,34.767,4.6,7.923,7.9455
2021-09-08 22:00:00+02:00,40.233,4.8,8.378,8.3845
2021-09-08 23:00:00+02:00,43.167,4.3,7.4565,7.4565
2021-09-09 00:00:00+02:00,45.666,4.3,7.2265,7.2265
2021-09-09 01:00:00+02:00,48.7,3.6,6.186,6.186
2021-09-09 02:00:00+02:00,50.1,3.3,5.541,5.541
2021-09-09 03:00:00+02:00,51.334,4.7,8.0735,8.2735
2021-09-09 04:00:00+02:00,52.334,4.2,7.0655,7.1745
2021-09-09 05:00:00+02:00,52.166,4.4,7.556,7.618
2021-09-09 06:00:00+02:00,53.633,5.1,8.819,8.8515
2021-09-09 07:00:00+02:00,53.4,8.8,13.6215,15.3185
2021-09-09 08:00:00+02:00,49.933,4.7,8.1015,8.1015
2021-09-09 09:00:00+02:00,43.4,5.1,8.778,8.7965
2021-09-09 10:00:00+02:00,35.067,4.6,7.9885,8.0205
2021-09-09 11:00:00+02:00,30.233,5.0,8.48,8.576
2021-09-09 12:00:00+02:00,28.934,5.1,8.9525,8.955
2021-09-09 13:00:00+02:00,27.767,5.5,9.4645,9.5265
2021-09-09 14:00:00+02:00,23.534,4.8,8.2265,8.303
2021-09-09 15:00:00+02:00,19.934,5.0,8.602,8.6395
2021-09-09 16:00:00+02:00,18.0,4.0,6.809,6.84
2021-09-09 17:00:00+02:00,16.0,3.9,6.5975,6.618
2021-09-09 18:00:00+02:00,15.966,3.2,5.3635,5.369
2021-09-09 19:00:00+02:00,26.066,4.3,7.372,7.3725
2021-09-09 20:00:00+02:00,34.534,4.1,7.133,7.133
2021-09-09 21:00:00+02:00,39.233,5.1,8.6595,8.703
2021-09-09 22:00:00+02:00,43.166,5.1,8.7865,8.8065
2021-09-09 23:00:00+02:00,45.9,4.9,8.423,8.425
2021-09-10 00:00:00+02:00,46.6,5.1,8.5315,8.591
2021-09-10 01:00:00+02:00,48.166,5.0,8.3715,8.4695
2021-09-10 02:00:00+02:00,50.034,4.5,7.573,7.573
2021-09-10 03:00:00+02:00,51.9,6.2,10.421,10.885
2021-09-10 04:00:00+02:00,52.534,5.6,9.616,9.638
2021-09-10 05:00:00+02:00,53.667,6.1,10.0385,10.344
2021-09-10 06:00:00+02:00,53.966,8.8,14.429,15.35
2021-09-10 07:00:00+02:00,53.233,7.0,11.9455,12.1195
2021-09-10 08:00:00+02:00,48.166,7.2,12.382,12.5925
2021-09-10 09:00:00+02:00,41.666,6.7,11.609,11.6775
2021-09-10 10:00:00+02:00,33.4,5.8,10.0275,10.0275
2021-09-10 11:00:00+02:00,27.633,5.4,9.301,9.301
2021-09-10 12:00:00+02:00,22.0,5.4,9.171,9.2355
2021-09-10 13:00:00+02:00,19.733,5.1,8.556,8.76
2021-09-10 14:00:00+02:00,17.434,4.5,7.7225,7.7225
2021-09-10 15:00:00+02:00,16.767,4.4,7.5695,7.6355
2021-09-10 16:00:00+02:00,15.3,4.2,7.0875,7.119
2021-09-10 17:00:00+02:00,13.733,3.5,5.932,5.932
2021-09-10 18:00:00+02:00,15.1,3.6,6.1595,6.1595
2021-09-10 19:00:00+02:00,23.7,8.4,13.1555,14.583
